observation_name	ADT_ST_ISS_XXX_01	ADT_ST_ISS_XXX_02	ADT_ST_ISS_XXX_03	ADT_ST_ISS_XXX_04	ADT_ST_ISS_XXX_05	ADT_ST_ISS_XXX_06	ADT_ST_ISS_XXX_07	ADT_ST_ISS_XXX_08	ADT_ST_ISS_XXX_09	ADT_ST_ISS_XXX_10	FRT_BL_CAR_UNF_XX	FRT_BL_CAR_UNO_XX	FRT_BL_ISL_UNF_XX	FRT_BL_ISL_UNO_XX	FRT_BL_MAZ_INF_01	FRT_BL_MAZ_INF_02	FRT_BL_MAZ_UNF_01	FRT_BL_MAZ_UNF_02	FRT_BL_MAZ_UNF_03	FRT_BL_MAZ_UNF_04	FRT_ST_ISS_IND_XX	FRT_ST_ISS_INM_XX	FRT_ST_ISS_UNF_01	FRT_ST_ISS_UNF_02	FRT_ST_ISS_UNF_03	FRT_ST_ISS_UNF_04	FRT_ST_ISS_UNF_05	FRT_ST_ISS_UNF_06	FRT_ST_ISS_UNF_XX	FRT_ST_ISS_UNO_XX	FRT_ST_MAZ_UNF_01	FRT_ST_MAZ_UNF_02	FRT_ST_MAZ_UNF_03	FRT_ST_MAZ_UNF_04	FRT_ST_MAZ_UNF_05	LRV_BB_MAZ_XXX_01	LRV_BB_MAZ_XXX_02	LRV_BB_MAZ_XXX_03	LRV_ST_ISS_XXX_01	LRV_ST_ISS_XXX_02	PUC_ST_ISS_XXX_01	PUC_ST_ISS_XXX_02	PUC_ST_ISS_XXX_03	PUC_ST_ISS_XXX_04	PUC_ST_ISS_XXX_05	PUC_ST_ISS_XXX_06	PUC_ST_ISS_XXX_07	PUC_ST_ISS_XXX_08	PUC_ST_ISS_XXX_09	PUC_ST_ISS_XXX_10	PUP_ST_ISS_XXX_01	PUP_ST_ISS_XXX_02	PUP_ST_ISS_XXX_03	PUP_ST_ISS_XXX_04	PUP_ST_ISS_XXX_05	PUP_ST_ISS_XXX_06	PUP_ST_ISS_XXX_07	PUP_ST_ISS_XXX_08	PUP_ST_ISS_XXX_09	PUP_ST_ISS_XXX_10	PUP_ST_ISS_XXX_11	PUP_ST_ISS_XXX_12
Cluster_160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_161	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_163	0	533	104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_165	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster_166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	6	1	11	4	0	0	0	0	0	0	0	23	1	7	14	5	5	4
Cluster_167	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	0	0	4	0	0	14	1	1	1	0	4	0	4	3	1	0	1	5	51
Cluster_169	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0
Cluster_17	20	16	11	28	0	0	4	0	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	192	0	1689	1616	1142	1200	0	4	5	292	1299	994	1081	961	1321	267	1228	168	101	538	8	1393	698	1329
Cluster_170	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cluster_171	2	3	2	3	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
